ID,Sticker,Latitud,Longitud,Nombre_comun
568,015851,2.9458,-75.2972,Guanabana
569,015860,2.9459,-75.2972,Guayacan trebol
570,015843,2.9459,-75.2972,Ocobo
571,015859,2.9459,-75.2972,Guacimo
572,015859,2.9459,-75.2972,Guayacan trebol
573,015849,2.946,-75.2973,Guayacan trebol
574,015863,2.946,-75.2973,Mango
575,015835,2.946,-75.2971,Caucho
576,015864,2.946,-75.2971,Guayacan trebol
577,030909,2.9458,-75.2965,Oití
578,030909,2.9458,-75.2965,Oití
579,030909,2.9458,-75.2965,Oití
580,030909,2.9459,-75.2965,Oití
581,030909,2.9459,-75.2965,Oití
582,030909,2.9459,-75.2965,Oití
583,023801,2.946,-75.2966,Oití
584,023801,2.946,-75.2966,Oití
585,023801,2.946,-75.2966,Oití
586,024087,2.9461,-75.2969,Oití
587,024087,2.9461,-75.2969,Oití
588,024087,2.9461,-75.2969,Oití
589,024087,2.9461,-75.2969,Oití
590,024087,2.9461,-75.2969,Oití
591,024087,2.9461,-75.2969,Moringa
592,023803,2.9461,-75.2978,Palo de cruz
593,023803,2.9461,-75.2978,Palo de cruz
594,023803,2.9461,-75.2978,Palo de cruz
595,023803,2.9461,-75.2978,Palo de cruz
596,023803,2.9461,-75.2978,Palo de cruz
597,015850,2.9462,-75.2972,Tamarindo
598,015829,2.9462,-75.2971,Tamarindo
599,015836,2.9462,-75.2972,Oití
600,015838,2.9462,-75.2972,Oití
601,015833,2.9462,-75.2972,Oití
602,039850,2.9463,-75.2972,Oití
603,015831,2.9463,-75.2972,Oití
604,015832,2.9463,-75.2971,Tamarindo
605,015812,2.9464,-75.2972,Almendro
606,015818,2.9465,-75.2973,Carbonero
607,015831,2.9465,-75.2973,Carbonero
608,054386,2.946,-75.2965,Almendro
609,020760,2.9463,-75.2964,Oití
610,020760,2.9463,-75.2964,Oití
611,020760,2.9463,-75.2964,Oití
612,020760,2.9463,-75.2964,Oití
613,023812,2.9464,-75.2965,Oití
614,023822,2.9465,-75.2969,Pomarrosa
615,023822,2.9464,-75.2969,Oití
616,023822,2.9464,-75.2969,Oití
617,023819,2.9466,-75.2974,Oití
618,023819,2.9466,-75.2974,Oití
619,023819,2.9466,-75.2975,Pomarrosa
620,024090,2.9465,-75.2978,Oití
621,024090,2.9465,-75.2978,Oití
622,024090,2.9465,-75.2978,Oití
623,026133,2.9465,-75.2979,Oití
624,015828,2.9466,-75.2972,Caimito
625,015806,2.9467,-75.2972,Mango
626,015823,2.9466,-75.2971,Mamoncillo
627,015813,2.9466,-75.2971,Mango
628,015813,2.9466,-75.2971,Mango
629,015823,2.9467,-75.2971,Maíz tostao
630,015819,2.9468,-75.2972,Mango
631,015825,2.9468,-75.2972,Mango
632,015827,2.9469,-75.2971,Caimito
633,015821,2.9469,-75.2971,Mamoncillo
634,015827,2.9469,-75.2971,Almendro
635,020747,2.9466,-75.2963,Guayacan trebol
636,020747,2.9466,-75.2963,Oití
637,023802,2.9469,-75.2968,Mango
638,024075,2.947,-75.2977,Ocobo
639,030397,2.947,-75.2979,Oití
640,030397,2.947,-75.2979,Oití
641,030397,2.947,-75.2979,Oití
642,054386,2.946,-75.2965,Oití
643,015826,2.947,-75.2971,Mango
644,015820,2.9471,-75.2971,Naranjo dulce
